No,Nama,URL Asli,Likes,Done,Worker,Explanation
165,Kikil Sapi Oseng Cabe Hijau,https://resepkoki.id/resep/resep-kikil-sapi-oseng-cabe-hijau/,1260,No,,
166,Nugget Ayam,https://resepkoki.id/resep/resep-nugget-ayam/,2125,Yes,Santa,
167,Ayam Goreng Lengkuas,https://resepkoki.id/resep/resep-ayam-goreng-lengkuas/,1152,No,,
168,Gulai Kambing,https://resepkoki.id/resep/resep-gulai-kambing/,1257,Yes,Santa,
169,Ayam Cabe Ijo,https://resepkoki.id/resep/resep-ayam-cabe-ijo/,1304,Yes,Christina,
170,Pepes Ayam,https://resepkoki.id/resep/resep-pepes-ayam/,1690,No,,
171,Beef Steak Tenderloin Blackpepper Sauce,https://resepkoki.id/resep/resep-beef-steak-tenderloin-blackpepper-sauce/,1342,No,,
172,Chicken (Ayam) Teriyaki,https://resepkoki.id/resep/resep-chicken-ayam-teriyaki/,1426,No,,
173,Ayam Betutu,https://resepkoki.id/resep/resep-ayam-betutu/,1454,Yes,Santa,
174,Ayam Serundeng,https://resepkoki.id/resep/resep-ayam-serundeng/,1544,No,,
175,Asem-Asem Daging,https://resepkoki.id/resep/resep-asem-asem-daging/,1617,No,,
176,Beef Yakiniku,https://resepkoki.id/resep/resep-beef-yakiniku/,1631,No,,
177,Ayam Goreng Tepung,https://resepkoki.id/resep/resep-ayam-goreng-tepung/,1607,No,,
178,Ayam Woku,https://resepkoki.id/resep/resep-ayam-woku/,2073,Yes,Aras,
179,Sate Ayam Madura,https://resepkoki.id/resep/resep-sate-ayam-madura/,2107,Yes,Santa,
180,Chicken Cordon Bleu,https://resepkoki.id/resep/resep-chicken-cordon-bleu/,1651,Yes,Santa,
181,Sate Lilit,https://resepkoki.id/resep/resep-sate-lilit/,1582,Yes,Santa,
182,Sate Komoh,https://resepkoki.id/resep/resep-sate-komoh/,1147,No,,
183,Ayam Tuturuga,https://resepkoki.id/resep/resep-ayam-tuturuga/,1097,No,,
184,Krengsengan Kambing,https://resepkoki.id/resep/resep-krengsengan-kambing/,1663,No,,
185,Mie Sop Medan,https://resepkoki.id/resep/resep-mie-sop-medan/,1061,No,,
186,Nasi Bakar Ayam Kemangi,https://resepkoki.id/resep/resep-nasi-bakar-ayam-kemangi/,1597,No,,
187,Koloke Ayam,https://resepkoki.id/resep/resep-koloke-ayam/,1098,Yes,Santa,
188,Tongseng Kambing,https://resepkoki.id/resep/resep-tongseng-kambing/,1771,No,,
189,Rabeg Daging Sapi,https://resepkoki.id/resep/resep-rabeg-daging-sapi/,1130,No,,
190,Hamburger Daging,https://resepkoki.id/resep/resep-hamburger-daging/,1300,No,,
191,Ayam Goreng Padang,https://resepkoki.id/resep/resep-ayam-goreng-padang/,1275,No,,
192,Garang Asem Ayam,https://resepkoki.id/resep/resep-garang-asem-ayam/,1764,No,,
193,Empal Gepuk,https://resepkoki.id/resep/resep-empal-gepuk/,1649,No,,
194,Nasi Gandul,https://resepkoki.id/resep/resep-nasi-gandul/,1662,No,,
195,Selat Solo,https://resepkoki.id/resep/resep-selat-solo/,1852,No,,
196,Empal Gentong,https://resepkoki.id/resep/resep-empal-gentong/,1703,No,,
